UID_MEDIAFILM,TITRE_ORIGINAL,TITRE_FRANÇAIS,PAYS_1,PAYS_2,PAYS_3,PAYS_4,PAYS_5,PAYS_6,ANNÉE_PRODUCTION,COTE_MEDIAFILM,GENRE,DATE_HEURE_DIFFUSION,RÉALISATION
67816,"Big Four, The","Quatre, Les",GB,,,,,,2014,0,Drame policier,2018-09-15T15:00:00,Peter Lydon 
28407,Cleopatra,Cléopâtre ,US,,,,,,1963,4,Drame historique,2018-09-16T00:05:00,Joseph L. Mankiewicz 
48538,"Princess and the Frog, The","Princesse et la grenouille, La",US,,,,,,2009,4,Film d'animation,2018-09-16T15:00:00,"Ron Clements, John Musker "
69680,Fatima,Fatima,FR,CA,,,,,2015,3,Drame social,2018-09-17T00:10:00,Philippe Faucon 
44293,"Kite Runner, The","Cerfs-volants de Kaboul, Les",US,,,,,,2007,4,Drame,2018-09-17T02:10:00,Marc Forster 
55601,"Whistleblower, The","Dénonciation, La",CA,DE,,,,,2010,4,Drame,2018-09-21T23:10:00,Larysa Kondracki 
65071,Enemy,Ennemi,CA,QC,ES,,,,2013,4,Thriller,2018-09-22T01:10:00,Denis Villeneuve 
67855,Dead Man's Folly,Poirot joue le jeu,GB,,,,,,2013,0,Drame policier,2018-09-22T15:00:00,Tom Vaughan 
64755,"Vénus à la fourrure, La","Vénus à la fourrure, La",FR,,,,,,2013,3,Drame,2018-09-23T00:05:00,Roman Polanski 
59626,"Heureux Événement, Un","Heureux Événement, Un",FR,,,,,,2011,4,Comédie dramatique,2018-09-23T02:05:00,Rémi Bezançon 
54370,Tangled,Raiponce,US,,,,,,2010,3,Film d'animation,2018-09-23T15:00:00,"Nathan Greno, Byron Howard "
32234,Gentlemen Prefer Blondes,"Hommes préfèrent les blondes, Les",US,,,,,,1953,4,Comédie musicale,2018-09-23T23:38:00,Howard Hawks 
73276,"Secret Life of Marilyn Monroe, The","Vie secrète de Marilyn Monroe, La",US,,,,,,2015,0,Drame biographique,2018-09-24T01:38:00,Laurie Collyer 
62100,1er Amour,1er Amour,CA,QC,,,,,2013,5,Drame,2018-09-28T23:11:00,Guillaume Sylvestre 
63655,Émilie,Émilie,CA,QC,,,,,2013,5,Comédie sentimentale,2018-09-29T01:11:00,Guillaume Lonergan 
67886,"Labours of Hercules, The",Poirot - Les Travaux d'Hercule,GB,,,,,,2013,0,Drame policier,2018-09-29T15:00:00,Andy Wilson 
57809,Real Steel,Gants d'acier,US,,,,,,2011,4,Science-fiction,2018-09-30T00:05:00,Shawn Levy 
59048,One for the Money,"Prime, La",US,,,,,,2011,5,Comédie policière,2018-09-30T02:35:00,Julie Anne Robinson 
60488,Brave,Rebelle,US,,,,,,2012,4,Film d'animation,2018-09-30T15:00:00,"Mark Andrews, Brenda Chapman "
31802,"Seven Year Itch, The",Sept ans de réflexion,US,,,,,,1954,2,Comédie,2018-09-30T23:38:00,Billy Wilder 
39556,Confidences trop intimes,Confidences trop intimes,FR,,,,,,2003,4,Drame sentimental,2018-10-01T01:22:00,Patrice Leconte 
50793,Fakers,Tricheurs,CA,,,,,,2010,0,Drame,2018-10-05T23:06:00,Pierre Gill 
61505,Deadfall,Chute mortelle,US,,,,,,2012,4,Thriller,2018-10-06T00:50:00,Stefan Ruzowitzky 
67907,Curtain: Poirot's Last Case,Poirot - Hercule Poirot quitte la scène,GB,,,,,,2013,0,Drame policier,2018-10-06T15:00:00,Hettie MacDonald 
38679,"Missing, The","Disparues, Les",US,,,,,,2003,4,Western,2018-10-07T00:00:00,Ron Howard 
42889,"Engagement Ring, The",Retour d'amour,US,,,,,,2005,5,Comédie sentimentale,2018-10-07T02:40:00,Steven Schachter 
65312,Frozen,"Reine des neiges, La",US,,,,,,2013,3,Film d'animation,2018-10-07T15:00:00,"Jennifer Lee, Chris Buck "
29429,Let's Make Love,"Milliardaire, Le",US,,,,,,1960,4,Comédie musicale,2018-10-08T00:23:00,George Cukor 
55056,"Peur de l'eau, La","Peur de l'eau, La",CA,QC,,,,,2011,5,Drame policier,2018-10-12T23:06:00,Gabriel Pelletier 
61299,"Jeune Fille, Une","Jeune Fille, Une",CA,QC,,,,,2013,4,Drame psychologique,2018-10-13T01:09:00,Catherine Martin 
69618,99 Homes,Éviction,US,,,,,,2015,4,Drame,2018-10-14T00:30:00,Ramin Bahrani 
11655,Pinocchio,Pinocchio,US,,,,,,1940,3,Film d'animation,2018-10-14T15:00:00,"Hamilton Luske, Ben Sharpsteen "
58686,Too Big to Fail,Débâcle à Wall Street,US,,,,,,2011,3,Drame historique,2018-10-15T00:23:00,Curtis Hanson 
68018,Love Projet,Love Projet,CA,QC,,,,,2014,5,Drame,2018-10-19T23:06:00,Carole Laure 
43683,Gracie,Gracie,US,,,,,,2007,5,Drame sportif,2018-10-20T01:06:00,Davis Guggenheim 
70058,Eddie the Eagle,Eddie l'Aigle,GB,,,,,,2016,4,Drame sportif,2018-10-21T00:30:00,Dexter Fletcher 
61388,Wreck-It Ralph,"Mondes de Ralph, Les",US,,,,,,2012,4,Film d'animation,2018-10-21T15:00:00,Rich Moore 
54371,TRON - Legacy,TRON - L'Héritage,US,,,,,,2010,3,Science-fiction,2018-10-21T23:23:00,Joseph Kosinski 
624,Gattaca,Bienvenue à Gattaca,US,,,,,,1997,3,Science-fiction,2018-10-22T01:24:00,Andrew Niccol 
65332,Tom à la ferme,Tom à la ferme,CA,QC,FR,,,,2013,4,Drame,2018-10-26T23:06:00,Xavier Dolan 
46596,Grande Ourse - La clé des possibles,Grande Ourse - La clé des possibles,CA,QC,,,,,2009,4,Drame fantastique,2018-10-27T00:50:00,Patrice Sauvé 
63300,"Garde, La","Garde, La",CA,,,,,,2013,5,Drame,2018-10-28T00:30:00,Sylvain Archambault 
60669,Frankenweenie,Frankenweenie,US,,,,,,2012,3,Film d'animation,2018-10-28T15:00:00,Tim Burton 
