UID_MEDIAFILM,TITRE_ORIGINAL,TITRE_FRANÇAIS,PAYS_1,PAYS_2,PAYS_3,PAYS_4,PAYS_5,PAYS_6,ANNÉE_PRODUCTION,COTE_MEDIAFILM,GENRE,DATE_HEURE_DIFFUSION,RÉALISATION
43828,Death at a Funeral,Joyeuses Funérailles,GB,,,,,,2007,4,Comédie de moeurs,2010-01-01T01:00:00,Frank Oz 
42297,"Lost City, The","Cité perdue, La",US,,,,,,2005,4,Drame,2010-01-01T03:00:00,Andy Garcia 
42642,"Doublure, La","Doublure, La",FR,,,,,,2006,5,Comédie,2010-01-01T12:30:00,Francis Veber 
42251,Cars,"Bagnoles, Les",US,,,,,,2006,3,Film d'animation,2010-01-01T14:30:00,"John Lasseter, Joe Ranft "
38921,Miracle,Miracle,US,,,,,,2004,5,Drame sportif,2010-01-02T00:30:00,Gavin O'Connor 
38291,Open Range,"Ouest sauvage, L'",US,,,,,,2003,4,Western,2010-01-02T03:15:00,Kevin Costner 
37720,Piglet's Big Movie,"Grand Film de Porcinet, Le",US,,,,,,2003,5,Dessins animés,2010-01-02T08:00:00,Francis Glebas 
45779,Oliver Twist,Oliver Twist,GB,US,,,,,2007,4,Drame,2010-01-02T12:30:00,Coky Giedroyc 
45779,Oliver Twist,Oliver Twist,GB,US,,,,,2007,4,Drame,2010-01-02T14:30:00,Coky Giedroyc 
43189,Bridge to Terabithia,"Pont de Terabithia, Le",US,,,,,,2007,4,Drame fantastique,2010-01-02T20:00:00,Gabor Csupo 
37357,Chicago,Chicago,US,,,,,,2002,3,Comédie musicale,2010-01-02T23:35:00,Rob Marshall 
38681,Concorrenza Sleale,Concurrence déloyale,IT,,,,,,2001,4,Comédie dramatique,2010-01-03T02:10:00,Ettore Scola 
40012,National Treasure,Trésor national,US,,,,,,2004,5,Aventures,2010-01-03T14:00:00,Jon Turteltaub 
43706,Ratatouille,Ratatouille,US,,,,,,2007,3,Film d'animation,2010-01-03T19:30:00,Brad Bird 
37363,"Pianist, The","Pianiste, Le",FR,,,,,,2001,3,Drame biographique,2010-01-03T22:35:00,Roman Polanski 
1272,Ça commence aujourd'hui,Ça commence aujourd'hui,FR,,,,,,1999,3,Drame social,2010-01-04T01:35:00,Bertrand Tavernier 
43287,"Môme, La","Vie en rose, La",FR,GB,CZ,,,,2007,4,Drame biographique,2010-01-09T18:30:00,Olivier Dahan 
37854,"Sleeping Dictionary, The",Leçons sur l'oreiller,US,,,,,,2002,4,Drame sentimental,2010-01-09T23:35:00,Guy Jenkin 
41892,Anthony Zimmer,Anthony Zimmer,FR,,,,,,2005,4,Thriller,2010-01-10T22:35:00,Jérôme Salle 
14961,Van Gogh,Van Gogh,FR,,,,,,1991,3,Drame biographique,2010-01-11T00:35:00,Maurice Pialat 
44016,"Cri au bonheur, Un","Cri au bonheur, Un",CA,QC,,,,,2007,4,Film d'essai,2010-01-17T02:05:00,collectif 
40179,Mar Adentro,"Mer intérieure, La",ES,,,,,,2004,3,Drame biographique,2010-01-17T23:35:00,Alejandro Amenabar 
43824,"3 P'tits Cochons, Les","3 P'tits Cochons, Les",CA,QC,,,,,2007,5,Comédie dramatique,2010-01-24T19:30:00,Patrick Huard 
40419,Der Untergang,"Chute, La",DE,,,,,,2004,3,Drame historique,2010-01-24T23:35:00,Oliver Hirschbiegel 
38942,Dans l'oeil du chat,Dans l'oeil du chat,CA,QC,,,,,2003,5,Thriller,2010-01-31T02:05:00,Rudy Barichello 
41888,Tsotsi,Tsotsi,ZA,,,,,,2005,3,Drame policier,2010-01-31T23:50:00,Gavin Hood 
39938,CQ2 (Seek You Too),CQ2 (Seek You Too),CA,QC,FR,,,,2004,5,Drame psychologique,2010-02-07T02:05:00,Carole Laure 
42179,Boksuneun naui geot,"Vengeance d'un homme, La",KP,,,,,,2002,4,Thriller,2010-02-07T23:50:00,Park Chan-wook 
42686,Alex Rider - Operation Stormbreaker,Stormbreaker - Les Aventures d'Alex Rider,GB,US,DE,,,,2006,5,Drame d'espionnage,2010-02-13T15:00:00,Geoffrey Sax 
39323,Super Size Me,Super Size Me: Malbouffe à l'américaine,US,,,,,,2004,4,Documentaire,2010-02-14T02:05:00,Morgan Spurlock 
40608,Oldeuboi,15 ans volés,KP,,,,,,2003,3,Thriller,2010-02-14T23:50:00,Park Chan-wook 
43052,Miss Potter,Miss Potter,GB,US,,,,,2006,4,Drame biographique,2010-02-20T15:00:00,Chris Noonan 
41264,Saints-Martyrs-des-Damnés,Saints-Martyrs-des-Damnés,CA,QC,,,,,2005,5,Drame fantastique,2010-02-21T02:00:00,Robin Aubert 
42217,Chinjeolhan Geum-Jassi,"Vengeance d'une femme, La",KP,,,,,,2005,3,Thriller,2010-02-21T23:59:00,Park Chan-wook 
37564,À la folie... pas du tout,"À la folie, pas du tout",FR,,,,,,2002,4,Thriller,2010-02-22T02:22:00,Laetitia Colombani 
42958,Roméo et Juliette,Roméo et Juliette ,CA,QC,,,,,2006,7,Drame sentimental,2010-02-27T02:00:00,Yves Desgagnés 
1957,Serendipity,Heureux Hasard,US,,,,,,2001,4,Comédie sentimentale,2010-02-27T15:00:00,Peter Chelsom 
39552,"Village, The","Village, Le",US,,,,,,2004,5,Thriller,2010-02-28T02:00:00,M. Night Shyamalan 
41700,"New World, The","Nouveau Monde, Le",US,,,,,,2005,3,Drame historique,2010-02-28T23:55:00,Terrence Malick 
40156,"Aviator, The","Aviateur, L'",US,,,,,,2004,3,Drame biographique,2010-03-01T02:10:00,Martin Scorsese 
44049,"Brunante, La","Brunante, La",CA,QC,,,,,2007,4,Comédie dramatique,2010-03-04T02:30:00,Fernand Dansereau 
41164,Familia,Familia,CA,QC,,,,,2005,4,Drame psychologique,2010-03-05T03:00:00,Louise Archambault 
42649,Sans elle,Sans elle,CA,QC,,,,,2006,5,Drame psychologique,2010-03-06T02:15:00,Jean Beaudin 
41805,Que Dieu bénisse l'Amérique,Que Dieu bénisse l'Amérique,CA,QC,,,,,2005,4,Comédie dramatique,2010-03-07T02:05:00,Robert Morin 
1281,Post mortem,Post mortem,CA,QC,,,,,1999,3,Drame psychologique,2010-03-07T23:55:00,Louis Bélanger 
41575,Brokeback Mountain,Souvenirs de Brokeback Mountain,US,,,,,,2005,2,Drame sentimental,2010-03-08T01:10:00,Ang Lee 
42789,"Génie du crime, Le","Génie du crime, Le",CA,QC,,,,,2006,4,Comédie dramatique,2010-03-14T03:00:00,Louis Bélanger 
1668,"Muses orphelines, Les","Muses orphelines, Les",CA,QC,,,,,2000,4,Drame psychologique,2010-03-14T23:55:00,Robert Favreau 
41098,"Constant Gardener, The","Constance du jardinier, La",GB,,,,,,2005,3,Drame,2010-03-15T02:00:00,Fernando Meirelles 
40419,Der Untergang,"Chute, La",DE,,,,,,2004,3,Drame historique,2010-03-16T02:00:00,Oliver Hirschbiegel 
38942,Dans l'oeil du chat,Dans l'oeil du chat,CA,QC,,,,,2003,5,Thriller,2010-03-17T03:00:00,Rudy Barichello 
39937,Littoral,Littoral,CA,QC,FR,,,,2004,4,Drame psychologique,2010-03-18T03:00:00,Wajdi Mouawad 
39129,"Ladykillers, The","Tueurs de dames, Les",US,,,,,,2003,4,Comédie policière,2010-03-19T03:00:00,"Ethan Coen, Joel Coen "
42665,Cheech,Cheech,CA,QC,,,,,2006,5,Comédie dramatique,2010-03-20T02:15:00,Patrice Sauvé 
42156,Délivrez-moi,Délivrez-moi,CA,QC,,,,,2006,4,Drame psychologique,2010-03-21T02:05:00,Denis Chouinard 
39654,Elles étaient cinq,Elles étaient cinq,CA,QC,,,,,2004,4,Drame psychologique,2010-03-21T23:55:00,Ghyslaine Côté 
40604,"Survenant, Le","Survenant, Le",CA,QC,,,,,2005,4,Drame de moeurs,2010-03-22T01:32:00,Érik Canuel 
39428,Around the World in 80 Days,"Tour du monde en 80 jours, Le",US,,,,,,2004,5,Aventures,2010-03-23T02:00:00,Frank Coraci 
39452,"Notebook, The","Pages de notre amour, Les",US,,,,,,2004,5,Drame sentimental,2010-03-24T02:00:00,Nick Cassavetes 
39153,"Espérance, L'","Espérance, L'",CA,QC,,,,,2003,5,Drame,2010-03-25T02:00:00,Stefan Pleszczynski 
39055,Hidalgo,Hidalgo,US,,,,,,2004,4,Aventures,2010-03-26T02:00:00,Joe Johnston 
40886,Aurore,Aurore,CA,QC,,,,,2005,5,Mélodrame,2010-03-27T02:00:00,Luc Dionne 
37843,"Invasions barbares, Les","Invasions barbares, Les",CA,QC,FR,,,,2003,3,Comédie dramatique,2010-03-27T20:00:00,Denys Arcand 
37505,"Fils de Marie, Les","Fils de Marie, Les",CA,QC,,,,,2002,5,Drame psychologique,2010-03-28T01:05:00,Carole Laure 
39689,Mémoires affectives,Mémoires affectives,CA,QC,,,,,2004,4,Drame psychologique,2010-03-28T03:05:00,Francis Leclerc 
6566,Moi... j'me fais mon cinéma,Moi... j'me fais mon cinéma,CA,QC,,,,,1998,4,Documentaire,2010-03-28T23:35:00,Gilles Carle 
41218,"Audition, L'","Audition, L'",CA,QC,,,,,2005,4,Drame psychologique,2010-03-29T01:42:00,Luc Picard 
39468,King Arthur,"Roi Arthur, Le",US,IE,,,,,2004,5,Drame épique,2010-03-30T02:00:00,Antoine Fuqua 
41992,"Rage de l'ange, La","Rage de l'ange, La",CA,QC,,,,,2006,5,Drame social,2010-03-31T02:00:00,Dan Bigras 
44022,"Âge des ténèbres, L'","Âge des ténèbres, L'",CA,QC,,,,,2007,5,Comédie dramatique,2010-04-03T20:00:00,Denys Arcand 
127,Last Dance,"Dernière danse, La",US,,,,,,1995,5,Drame judiciaire,2010-04-04T00:05:00,Bruce Beresford 
42297,"Lost City, The","Cité perdue, La",US,,,,,,2005,4,Drame,2010-04-04T02:05:00,Andy Garcia 
15461,"Last Temptation of Christ, The","Dernière Tentation du Christ, La",US,,,,,,1988,3,Drame religieux,2010-04-04T22:55:00,Martin Scorsese 
37543,"Quiet American, The","Américain bien tranquille, Un",AU,,,,,,2002,3,Drame,2010-04-05T01:35:00,Phillip Noyce 
42442,Bon Cop Bad Cop,Bon Cop Bad Cop,CA,QC,,,,,2006,4,Comédie policière,2010-04-10T20:00:00,Érik Canuel 
37531,Comment ma mère accoucha de moi durant sa ménopause,Comment ma mère accoucha de moi durant sa ménopause,CA,QC,,,,,2002,4,Comédie de moeurs,2010-04-10T23:35:00,Sébastien Rose 
39430,Samsara,Samsara,IN,,,,,,2001,4,Chronique,2010-04-11T01:40:00,Pan Nalin 
820,"Spanish Prisoner, The","Prisonnière espagnole, La",US,,,,,,1997,3,Thriller,2010-04-11T22:55:00,David Mamet 
38634,"Piège d'Issoudun, Le","Piège d'Issoudun, Le",CA,QC,,,,,2003,5,Drame psychologique,2010-04-12T00:40:00,Micheline Lanctôt 
44027,"Game Plan, The",Plan de match,US,,,,,,2007,5,Comédie,2010-04-16T19:00:00,Andy Fickman 
464,Romy and Michele's High School Reunion,"Romy et Michele, reines de la soirée",US,,,,,,1997,4,Comédie,2010-04-17T15:00:00,David Mirkin 
43363,À vos marques... Party!,À vos marques... Party!,CA,QC,,,,,2007,5,Comédie dramatique,2010-04-17T20:00:00,Frédérik D'Amours 
37679,Julie Walking Home,"Retour de Julie, Le",CA,,,,,,2001,5,Drame,2010-04-17T23:35:00,Agnieszka Holland 
41539,Various Positions,Multiples positions,CA,,,,,,2002,5,Comédie dramatique,2010-04-18T02:00:00,Ori Kowarsky 
46016,"Pocketful of Rye, A","Poignée de seigle, Une",GB,,,,,,2009,0,Drame policier,2010-04-18T15:00:00,Charles Palmer 
1055,Shakespeare in Love,Shakespeare et Juliette,US,,,,,,1998,3,Comédie sentimentale,2010-04-18T23:30:00,John Madden 
47671,"Temps changent, Les","Temps changent, Les",FR,CA,,,,,2008,4,Docufiction,2010-04-19T01:25:00,"Marion Milne, Jean-Christophe de Revière "
49212,Visionnaires planétaires,Visionnaires planétaires,CA,QC,,,,,2009,4,Documentaire,2010-04-23T20:00:00,Sylvie Van Brabant 
40851,Herbie: Fully Loaded,"Coccinelle tout équipée, La",US,,,,,,2005,5,Comédie fantaisiste,2010-04-24T15:00:00,Angela Robinson 
44014,Shake Hands with the Devil,J'ai serré la main du diable,CA,QC,,,,,2007,4,Drame historique,2010-04-24T20:00:00,Roger Spottiswoode 
9313,Crimson Tide,Marée rouge,US,,,,,,1995,4,Drame de guerre,2010-04-24T23:05:00,Tony Scott 
42489,Seres Queridos,Tellement proches,ES,,,,,,2004,4,Comédie,2010-04-25T01:35:00,"Teresa De Pelegri, Dominic Harari "
37398,"Hours, The","Heures, Les",US,,,,,,2002,3,Drame psychologique,2010-04-25T23:00:00,Stephen Daldry 
38681,Concorrenza Sleale,Concurrence déloyale,IT,,,,,,2001,4,Comédie dramatique,2010-04-26T00:50:00,Ettore Scola 
39911,Birth,"Naissance, La",US,,,,,,2004,4,Drame,2010-04-26T14:00:00,Jonathan Glazer 
40438,P.S.,P.S.,US,,,,,,2004,5,Comédie sentimentale,2010-04-27T14:00:00,Dylan Kidd 
37122,Perfect Pie,"Voie du destin, La",CA,,,,,,2002,5,Drame psychologique,2010-04-28T14:00:00,Barbara Willis Sweete 
6711,At the End of the Day: The Sue Rodriguez Story,"Combat de Sue Rodriguez, Le",CA,,,,,,1998,4,Drame judiciaire,2010-04-29T14:00:00,Sheldon Larry 
38974,Effroyables Jardins,Effroyables Jardins,FR,,,,,,2002,4,Comédie dramatique,2010-04-30T14:00:00,Jean Becker 
42359,Astérix et les Vikings,Astérix et les Vikings,FR,,,,,,2006,4,Dessins animés,2010-04-30T19:00:00,"Jesper Moller, Stefan Fjeldmark "
1000,"C't'à ton tour, Laura Cadieux","C't'à ton tour, Laura Cadieux",CA,QC,,,,,1998,5,Comédie de moeurs,2010-05-01T20:00:00,Denise Filiatrault 
37808,"Femme de ménage, Une","Femme de ménage, Une",FR,,,,,,2002,4,Comédie dramatique,2010-05-02T00:35:00,Claude Berri 
4809,"Player, The","Meneur, Le",US,,,,,,1992,2,Comédie satirique,2010-05-02T22:55:00,Robert Altman 
44877,Lassie,Lassie,GB,,,,,,2005,4,Aventures,2010-05-03T14:00:00,Charles Sturridge 
42218,On a Clear Day,"Belle Journée, Une",GB,,,,,,2004,4,Comédie dramatique,2010-05-04T14:00:00,Gaby Dellal 
40559,"Good Shepherd, The","Bon Pasteur, Le",CA,,,,,,2004,5,Thriller,2010-05-05T14:00:00,Lewin Webb 
40437,Geraldine's Fortune,"Fortune de Géraldine, La",CA,,,,,,2004,6,Comédie dramatique,2010-05-06T14:00:00,John N. Smith 
40038,Mensonges et trahisons et plus si affinités...,Mensonges et trahisons et plus si affinités...,FR,,,,,,2004,4,Comédie de moeurs,2010-05-07T14:00:00,Laurent Tirard 
40744,Madagascar,Madagascar,US,,,,,,2005,4,Film d'animation,2010-05-07T19:00:00,"Eric Darnell, Tom McGrath "
48530,"Dames en bleu, Les","Dames en bleu, Les",CA,QC,,,,,2009,4,Documentaire,2010-05-08T20:00:00,Claude Demers 
43191,Ma fille mon ange,Ma fille mon ange,CA,QC,,,,,2006,5,Drame de moeurs,2010-05-08T22:37:00,Alexis Durand-Brault 
278,"Associate, The","Associé, L'",US,,,,,,1996,5,Comédie,2010-05-09T00:37:00,Donald Petrie 
43302,Marple: At Bertram's Hotel,Miss Marple: À l'hôtel Bertram,GB,,,,,,2007,0,Drame policier,2010-05-09T14:00:00,Dan Zeff 
43223,Indigènes,Indigènes,FR,MA,DZ,BE,,,2006,3,Drame de guerre,2010-05-09T23:06:00,Rachid Bouchareb 
43434,Bury My Heart at Wounded Knee,Enterre mon coeur à Wounded Knee,US,,,,,,2007,4,Chronique historique,2010-05-10T01:02:00,Yves Simoneau 
39878,Head in the Clouds,"Tête dans les nuages, La",CA,GB,,,,,2004,5,Chronique,2010-05-10T03:02:00,John Duigan 
8391,"Big Green, The","Big Green, Le",US,,,,,,1995,5,Comédie,2010-05-10T14:00:00,Holly Goldberg Sloan 
739,"Wedding Singer, The","Chanteur de noces, Le",US,,,,,,1998,5,Comédie sentimentale,2010-05-11T14:00:00,Frank Coraci 
15585,Noises Off,Bruits de coulisses,US,,,,,,1992,4,Comédie,2010-05-12T14:00:00,Peter Bogdanovich 
39775,Il Cielo Cade,"Ciel tombe, Le",IT,,,,,,2000,4,Chronique,2010-05-13T14:00:00,"Andrea Frazzi, Antonio Frazzi "
38432,Chouchou,Chouchou,FR,,,,,,2003,5,Comédie de moeurs,2010-05-14T14:00:00,Merzak Allouache 
39794,Ladder 49,Échelle 49,US,,,,,,2004,5,Drame,2010-05-14T19:00:00,Jay Russell 
41932,Hunt For Justice,Louise Arbour: Un combat pour la justice,CA,QC,DE,,,,2005,4,Drame historique,2010-05-15T00:30:00,Charles Binamé 
38134,Sinbad - Legend of the Seven Seas,Sinbad - La Légende des Sept Mers,US,,,,,,2003,4,Film d'animation,2010-05-15T15:00:00,"Patrick Gilmore, Tim Johnson "
43774,Ma tante Aline,Ma tante Aline,CA,QC,,,,,2007,6,Comédie,2010-05-15T20:00:00,Gabriel Pelletier 
37104,Frida,Frida,US,,,,,,2002,3,Drame biographique,2010-05-16T01:07:00,Julie Taymor 
51625,Marple: Why Didn't They Ask Evans?,Miss Marple: Pourquoi pas Evans?,GB,,,,,,2009,0,Drame policier,2010-05-16T14:00:00,Nicholas Renton 
26514,"Vieil Homme et l'enfant, Le","Vieil Homme et l'enfant, Le",FR,,,,,,1967,3,Comédie dramatique,2010-05-16T22:37:00,Claude Berri 
37718,"Auberge espagnole, L'","Auberge espagnole, L'",FR,ES,,,,,2001,4,Comédie de moeurs,2010-05-17T00:02:00,Cédric Klapisch 
41211,"Poupées russes, Les","Poupées russes, Les",FR,GB,,,,,2005,4,Comédie sentimentale,2010-05-17T02:02:00,Cédric Klapisch 
38804,Calendar Girls,"Calendrier des girls, Le",GB,,,,,,2003,4,Comédie dramatique,2010-05-17T13:00:00,Nigel Cole 
9910,Angels in the Outfield,"Anges frappent et courent, Les",US,,,,,,1994,5,Comédie fantaisiste,2010-05-18T13:30:00,William Dear 
18271,Three Men and a Baby,Trois Hommes et un bébé,US,,,,,,1987,4,Comédie,2010-05-19T13:30:00,Leonard Nimoy 
16523,Three Men and a Little Lady,Trois Hommes et une jeune demoiselle,US,,,,,,1990,5,Comédie,2010-05-20T13:30:00,Emile Ardolino 
38501,Thunderpants,Plein gaz,GB,,,,,,2002,5,Comédie fantaisiste,2010-05-21T13:30:00,Peter Hewitt 
39311,Shrek 2,Shrek 2,US,,,,,,2004,3,Film d'animation,2010-05-21T19:00:00,Andrew Adamson 
41931,"Enfer, L'","Enfer, L'",FR,IT,BE,JP,,,2005,5,Drame psychologique,2010-05-22T00:30:00,Danis Tanovic 
43929,"Grand Meaulnes, Le","Grand Meaulnes, Le",FR,,,,,,2006,5,Drame sentimental,2010-05-22T15:00:00,Jean-Daniel Verhaeghe 
41007,Horloge biologique,Horloge biologique,CA,QC,,,,,2005,4,Comédie de moeurs,2010-05-22T20:00:00,Ricardo Trogi 
37564,À la folie... pas du tout,"À la folie, pas du tout",FR,,,,,,2002,4,Thriller,2010-05-22T23:07:00,Laetitia Colombani 
7,Up Close and Personal,Intime et personnel,US,,,,,,1996,5,Comédie sentimentale,2010-05-23T01:07:00,Jon Avnet 
44769,Marple: Nemesis,Miss Marple: Nemesis,GB,,,,,,2007,0,Comédie policière,2010-05-23T14:00:00,Nicolas Winding Refn 
9157,Priest,"Prêtre, Le",GB,,,,,,1994,3,Drame de moeurs,2010-05-23T22:38:00,Antonia Bird 
1068,Central do Brasil,Gare centrale,BR,FR,,,,,1998,3,Drame psychologique,2010-05-24T00:18:00,Walter Salles 
290,Twelfth Night,"Nuit des rois, La",GB,,,,,,1996,4,Comédie dramatique,2010-05-24T02:18:00,Trevor Nunn 
216,Jack,Jack,US,,,,,,1996,5,Comédie dramatique,2010-05-24T13:00:00,Francis Ford Coppola 
16501,Stella,Stella,US,,,,,,1990,5,Mélodrame,2010-05-25T13:30:00,John Erman 
18616,Can't Buy Me Love,"Amour ne s'achète pas, L'",US,,,,,,1987,5,Comédie,2010-05-26T13:30:00,Steve Rash 
38496,100% Bio,100% Bio,CA,QC,,,,,2003,4,Comédie satirique,2010-05-27T13:30:00,Claude Fortin 
44750,Ma vie en l'air,Ma vie en l'air,FR,,,,,,2005,5,Comédie sentimentale,2010-05-28T13:30:00,Rémi Bezançon 
42885,Bobby,Bobby,US,,,,,,2006,4,Drame historique,2010-05-28T19:00:00,Emilio Estevez 
45300,Seeing Other People,"Amour en question, L'",US,,,,,,2004,4,Comédie,2010-05-29T00:30:00,Wallace Wolodarsky 
40851,Herbie: Fully Loaded,"Coccinelle tout équipée, La",US,,,,,,2005,5,Comédie fantaisiste,2010-05-29T15:00:00,Angela Robinson 
40765,Idole instantanée,Idole instantanée,CA,QC,,,,,2005,5,Comédie satirique,2010-05-29T20:00:00,Yves Desgagnés 
16546,Pretty Woman,"Jolie Femme, Une",US,,,,,,1990,5,Comédie sentimentale,2010-05-29T23:07:00,Garry Marshall 
39157,"Alamo, The",Alamo,US,,,,,,2004,5,Drame historique,2010-05-30T01:37:00,John Lee Hancock 
1344,Mansfield Park,Lettres de Mansfield Park,GB,,,,,,1999,3,Drame sentimental,2010-05-30T22:38:00,Patricia Rozema 
9059,"Patriotes, Les","Patriotes, Les",FR,,,,,,1994,4,Drame d'espionnage,2010-05-31T00:28:00,Éric Rochant 
1317,"Limey, The","Limier, Le",US,,,,,,1999,3,Thriller,2010-05-31T02:48:00,Steven Soderbergh 
40928,Wedding Crashers,Garçons sans honneur,US,,,,,,2005,5,Comédie,2010-05-31T13:00:00,David Dobkin 
16305,Father of the Bride,"Père de la mariée, Le",US,,,,,,1991,5,Comédie de moeurs,2010-06-01T13:30:00,Charles Shyer 
8533,Father of the Bride - Part II,"Père de la mariée - Tome II, Le",US,,,,,,1995,5,Comédie,2010-06-02T13:30:00,Charles Shyer 
37274,"Hot Chick, The",Miss Populaire,US,,,,,,2002,6,Comédie fantaisiste,2010-06-03T13:30:00,Tom Brady 
17975,"Étudiante, L'","Étudiante, L'",FR,IT,,,,,1988,5,Comédie sentimentale,2010-06-04T13:30:00,Claude Pinoteau 
45326,Si j'étais toi,Si j'étais toi,FR,,,,,,2007,4,Comédie fantaisiste,2010-06-04T19:00:00,Vincent Pérez 
18842,Ruthless People,Y a-t-il quelqu'un pour tuer ma femme?,US,,,,,,1986,4,Comédie policière,2010-06-05T00:30:00,"Jim Abrahams, Jerry Zucker, David Zucker "
52458,"2006 FIFA World Cup Film: The Grand Finale, The",Coupe du monde FIFA 2006: Dans la légende,GB,US,,,,,2006,0,Documentaire,2010-06-05T15:00:00,Michael Apted 
39226,"Incomparable Mademoiselle C., L'","Incomparable Mademoiselle C., L'",CA,QC,,,,,2004,4,Comédie fantaisiste,2010-06-05T20:00:00,Richard Ciupka 
38557,"Human Stain, The","Tache, La",US,,,,,,2003,4,Drame psychologique,2010-06-05T23:07:00,Robert Benton 
40816,Sotto falso nome,"Prix du désir, Le",IT,,,,,,2004,4,Drame de moeurs,2010-06-06T01:22:00,Roberto Ando 
1711,Traffic,Trafic,US,,,,,,2000,3,Drame,2010-06-06T22:38:00,Steven Soderbergh 
17633,Salaam Bombay,Salaam Bombay,IN,,,,,,1988,3,Drame social,2010-06-07T00:58:00,Mira Nair 
16232,Mississippi Masala,Mississippi Masala,US,,,,,,1991,4,Drame de moeurs,2010-06-07T02:48:00,Mira Nair 
22535,"Boum, La","Boum, La",FR,,,,,,1980,4,Comédie de moeurs,2010-06-07T13:00:00,Claude Pinoteau 
48267,Deep Blue,"Planète bleue, La",GB,DE,,,,,2003,3,Documentaire,2010-06-08T13:30:00,"Andy Byatt, Alastair Fothergill "
40520,"Wild Guys, The",De vrais hommes,CA,,,,,,2004,0,Comédie,2010-06-09T13:30:00,William Gereghty 
1259,"Muse, The","Muse, La",US,,,,,,1999,4,Comédie,2010-06-10T13:30:00,Albert Brooks 
37941,"Papillon, Le","Papillon, Le",FR,,,,,,2002,4,Comédie dramatique,2010-06-11T12:30:00,Philippe Muyl 
44345,National Treasure - Book of Secrets,Trésor national 2 - Le Livre des secrets,US,,,,,,2007,5,Aventures,2010-06-11T19:00:00,Jon Turteltaub 
44604,"Ligne brisée, La","Ligne brisée, La",CA,QC,,,,,2008,5,Drame sportif,2010-06-12T20:00:00,Louis Choquette 
52458,"2006 FIFA World Cup Film: The Grand Finale, The",Coupe du monde FIFA 2006: Dans la légende,GB,US,,,,,2006,0,Documentaire,2010-06-12T23:20:00,Michael Apted 
41101,"Neuvaine, La","Neuvaine, La",CA,QC,,,,,2005,3,Drame psychologique,2010-06-13T23:21:00,Bernard Émond 
72,Homeward Bound II - Lost in San Francisco,Retour au bercail II - Perdus à San Francisco,US,,,,,,1996,5,Aventures,2010-06-14T12:30:00,David R. Ellis 
40467,"Boys & Girl From County Clare, The",Au Rythme du comté de Clare,IE,GB,DE,,,,2003,5,Comédie dramatique,2010-06-15T12:30:00,John Irvin 
42287,Keeping Up With the Steins,Meilleurs que les Stein,US,,,,,,2006,5,Comédie dramatique,2010-06-16T12:30:00,Scott Marshall 
7202,Northern Lights,"Étoile du nord, L'",US,CA,,,,,1997,5,Comédie dramatique,2010-06-17T12:30:00,Linda Yellen 
14498,Grosse Fatigue,Grosse Fatigue,FR,,,,,,1994,4,Comédie,2010-06-18T12:30:00,Michel Blanc 
39353,Raising Helen,Tante Helen,US,,,,,,2004,5,Comédie dramatique,2010-06-18T19:00:00,Garry Marshall 
40498,"Vie avec mon père, La","Vie avec mon père, La",CA,QC,,,,,2005,4,Comédie dramatique,2010-06-19T20:00:00,Sébastien Rose 
908,Jenseits der Stille,Au-delà du silence,DE,,,,,,1996,5,Drame psychologique,2010-06-19T23:20:00,Caroline Link 
19341,37°2 le matin,37°2 le matin,FR,,,,,,1986,3,Drame de moeurs,2010-06-20T23:20:00,Jean-Jacques Beineix 
39437,Step into Liquid,"Défi des vagues, Le",US,,,,,,2003,4,Documentaire,2010-06-21T12:30:00,Dana Brown 
44408,Mad Money,Folles du cash,US,,,,,,2008,5,Comédie policière,2010-06-25T19:00:00,Callie Khouri 
39481,Camping sauvage,Camping sauvage,CA,QC,,,,,2004,4,Comédie,2010-06-26T20:00:00,"Sylvain Roy, Guy A. Lepage "
38350,"Coeur des hommes, Le","Coeur des hommes, Le",FR,,,,,,2003,5,Comédie dramatique,2010-06-26T23:20:00,Marc Esposito 
21383,Danton,Danton,FR,PL,,,,,1982,2,Drame historique,2010-06-27T23:21:00,Andrzej Wajda 
44765,Zoop in Afrika,Zoo rangers en Afrique,NL,,,,,,2005,0,Aventures,2010-06-30T12:30:00,Johan Nijenhuis 
37851,Holes,"Passage, Le",US,,,,,,2003,4,Comédie dramatique,2010-06-30T14:30:00,Andrew Davis 
41482,Poirot: Cards on the Table,Poirot - Cartes sur table,GB,,,,,,2005,0,Drame policier,2010-07-01T00:50:00,Sarah Harding 
41481,Poirot: After the Funeral,Poirot - Les Indiscrétions d'Hercule Poirot,GB,,,,,,2005,0,Drame policier,2010-07-01T02:26:00,Maurice Phillips 
41658,Mrs. Henderson Presents,Madame Henderson présente,GB,,,,,,2005,4,Comédie dramatique,2010-07-01T14:30:00,Stephen Frears 
1008,La Vita è bella,"Vie est belle, La",IT,,,,,,1997,3,Comédie dramatique,2010-07-01T23:59:00,Roberto Benigni 
44512,Step Up 2 the Streets,Dansez dans les rues,US,,,,,,2008,5,Drame musical,2010-07-02T19:00:00,Jon M. Chu 
44874,"Piège américain, Le","Piège américain, Le",CA,QC,,,,,2008,5,Chronique,2010-07-03T20:00:00,Charles Binamé 
1149,"Walk on the Moon, A",Pleine Lune à Woodstock,US,,,,,,1998,4,Drame psychologique,2010-07-03T23:20:00,Tony Goldwyn 
